Repository Name,Date Of Event,Doc Class Name,Total Msgs,Total Size In MB,Exported Date,Email Sent Date
misc.mailouts.schwab,2023-07-22,=EMAIL=,917830,68531.66,2023-08-02 22:00,2023-07-22 - 2023-07-22
misc.mailouts.schwab,2023-07-22,MAILINGLIST,6436790,9537.80,2023-08-02 22:00,2023-07-22 - 2023-07-22
schwab.dom.repository,2023-07-22,=EMAIL=,27165,898.89,2023-08-02 22:00,2023-07-22 - 2023-07-22
carlsbad.branch.h.sv.schwab,2023-07-21,=EMAIL=,400,0.19,2023-08-02 22:01,2023-07-21 - 2023-07-21
fax.advice.schwab,2023-07-21,=EMAIL=,128,0.07,2023-08-02 22:01,2023-07-21 - 2023-07-21
fax.advice.schwab,2023-07-21,MAILINGLIST,13,0.01,2023-08-02 22:01,2023-07-21 - 2023-07-21
fax.branch.schwab,2023-07-21,=EMAIL=,847,0.43,2023-08-02 22:01,2023-07-21 - 2023-07-21
fax.branch.schwab,2023-07-21,MAILINGLIST,37,0.02,2023-08-02 22:01,2023-07-21 - 2023-07-21
misc.mailouts.schwab,2023-07-21,=EMAIL=,11320669,138684.37,2023-08-02 22:01,2023-07-21 - 2023-07-21
misc.mailouts.schwab,2023-07-21,MAILINGLIST,984885,1453.21,2023-08-02 22:01,2023-07-21 - 2023-07-21
rrrpsclepsd.sv.schwab,2023-07-21,=EMAIL=,1,0.00,2023-08-02 22:01,2023-07-21 - 2023-07-21
schwab.dom.repository,2023-07-21,=EMAIL=,350348,13173.77,2023-08-02 22:01,2023-07-21 - 2023-07-21
sps.external.email.sv.schwab,2023-07-21,=EMAIL=,1,0.00,2023-08-02 22:01,2023-07-21 - 2023-07-21
401k.company,2023-07-20,MAILINGLIST,1,0.00,2023-08-02 22:02,2023-07-20 - 2023-07-20
carlsbad.branch.h.sv.schwab,2023-07-20,=EMAIL=,1,0.00,2023-08-02 22:02,2023-07-20 - 2023-07-20
carlsbad.branch.h.sv.schwab,2023-07-20,MAILINGLIST,1,0.00,2023-08-02 22:02,2023-07-20 - 2023-07-20
carlsbad.branch.sv.schwab,2023-07-20,MAILINGLIST,1,0.00,2023-08-02 22:02,2023-07-20 - 2023-07-20
executiveservices.sv.schwab,2023-07-20,MAILINGLIST,2,0.00,2023-08-02 22:02,2023-07-20 - 2023-07-20
fax.advice.schwab,2023-07-20,=EMAIL=,54,0.03,2023-08-02 22:02,2023-07-20 - 2023-07-20
fax.advice.schwab,2023-07-20,MAILINGLIST,204,0.09,2023-08-02 22:02,2023-07-20 - 2023-07-20
fax.branch.schwab,2023-07-20,=EMAIL=,193,0.10,2023-08-02 22:02,2023-07-20 - 2023-07-20
fax.branch.schwab,2023-07-20,MAILINGLIST,651,0.28,2023-08-02 22:02,2023-07-20 - 2023-07-20
misc.mailouts.schwab,2023-07-20,=EMAIL=,1639011,134077.29,2023-08-02 22:02,2023-07-20 - 2023-07-20
misc.mailouts.schwab,2023-07-20,MAILINGLIST,1946046,2834.62,2023-08-02 22:02,2023-07-20 - 2023-07-20
rrrpsclepsd.sv.schwab,2023-07-20,MAILINGLIST,6,0.00,2023-08-02 22:02,2023-07-20 - 2023-07-20
schwab.dom.repository,2023-07-20,=EMAIL=,526843,22740.23,2023-08-02 22:02,2023-07-20 - 2023-07-20
sps.external.email.sv.schwab,2023-07-20,MAILINGLIST,3,0.00,2023-08-02 22:02,2023-07-20 - 2023-07-20
spsdenvertrading.sv.schwab,2023-07-20,MAILINGLIST,1,0.00,2023-08-02 22:02,2023-07-20 - 2023-07-20
carlsbad.branch.h.sv.schwab,2023-07-19,=EMAIL=,2,0.00,2023-08-02 22:04,2023-07-19 - 2023-07-19
